コード,二次医療圏,総人口,高齢者数,医師数,病院数,病床数,病床数（精神）,病床数（療養）,病床数（一般）
101,南渡島,"367,936","129,028",921,33,7076,1674,1156,4225
102,南檜山,"22,198","9,051",28,5,443,48,120,271
103,北渡島檜山,"34,485","13,391",44,6,747,100,184,459
104,札幌,"2,381,920","655,524","7,534",232,41126,8300,8310,24412
105,後志,"206,592","77,849",460,21,3785,1292,719,1766
106,南空知,"155,464","59,827",274,17,2594,774,560,1256
107,中空知,"101,798","40,603",254,16,3044,1225,861,948
108,北空知,"30,540","12,868",67,5,1039,429,407,199
109,西胆振,"179,610","66,819",398,21,5100,1494,1632,1946
110,東胆振,"208,011","64,465",364,16,2626,734,467,1421
111,日高,"65,586","22,415",78,7,789,218,162,405
112,上川中部,"387,178","131,059","1,396",41,7153,1058,1626,4443
113,上川北部,"61,899","22,790",117,8,961,55,311,591
114,富良野,"41,239","13,351",56,5,603,170,97,332
115,留萌,"44,638","17,482",70,7,755,99,222,430
116,宗谷,"62,707","20,966",65,8,730,70,146,510
117,北網,"210,690","71,410",335,25,3032,455,608,1965
118,遠紋,"66,812","24,540",100,12,1139,135,348,652
119,十勝,"332,416","103,132",678,33,4667,467,1014,3166
120,釧路,"227,420","76,202",418,22,3903,522,914,2453
121,根室,"92,202","26,432",74,7,702,215,60,423
201,津軽地域,"281,380","92,473",954,21,4207,869,548,2784
202,八戸地域,"319,107","100,589",621,27,4494,1387,493,2608
203,青森地域,"303,347","96,259",697,22,4493,1164,706,2585
204,西北五地域,"127,298","47,694",167,8,1315,164,567,580
205,上十三地域,"172,479","55,796",230,12,1843,679,172,988
206,下北地域,"72,172","24,332",104,4,632,54,120,454
301,盛岡,"465,224","133,753","1,516",39,7176,1588,1319,4249
302,岩手中部,"219,873","70,714",319,12,2041,559,95,1361
303,胆江,"131,704","44,550",222,9,1599,274,330,967
304,両磐,"122,911","44,500",216,10,1527,359,60,1094
305,気仙,"60,164","23,081",96,3,702,198,60,430
306,釜石,"44,640","17,271",60,6,979,204,102,673
307,宮古,"79,545","30,456",104,6,1196,572,148,462
308,久慈,"57,980","20,346",77,4,666,210,85,367
309,二戸,"53,476","20,723",90,3,550,147,45,349
401,仙南,"168,368","56,100",278,13,1862,601,352,901
